invoice_no,invoice_date,counterparty,amount,order_id,status
INV-2026-00001,2026-03-02,Pillai Hardware P Ltd,"4,178.08",order_601010000001,paid
INV-2026-00002,2026-03-02,Pillai Chemicals AND CO,"5,977.08",order_601010000003,paid
INV-2026-00003,2026-03-02,Naidu Pharma LLP,295.04,order_601010000005,paid
INV-2026-00004,2026-03-02,Chowdhury Pharma P Ltd,580.23,order_601010000007,paid
INV-2026-00005,2026-03-02,Ghosh Hardware & Co,"2,863.91",order_601010000009,paid
INV-2026-00006,2026-03-02,Nair Industries Pvt. Ltd,376.93,order_601010000011,paid
INV-2026-00007,2026-03-02,Joshi Logistics AND SONS,"3,963.83",order_601010000013,paid
INV-2026-00008,2026-03-02,Iyer Distributors Pvt Ltd,"1,224.87",order_601010000015,paid
INV-2026-00009,2026-03-02,Mehta Textiles AND SONS,"3,478.45",order_601010000017,paid
INV-2026-00010,2026-03-02,Menon Industries PVT. LTD.,"5,936.88",order_601010000019,paid
INV-2026-00011,2026-03-02,Sethi Enterprises & Sons,"4,117.49",order_601010000021,paid
INV-2026-00012,2026-03-02,Krishnan Industries & Sons,722.92,order_601010000023,paid
INV-2026-00013,2026-03-02,Sethi Traders AND CO,"2,516.34",order_601010000025,paid
INV-2026-00014,2026-03-02,Menon Logistics LLP,517.27,order_601010000027,paid
INV-2026-00015,2026-03-03,Khan Industries Private Limited,540.73,order_601010000029,paid
INV-2026-00016,2026-03-03,Ghosh Industries Pvt Ltd,"1,763.11",order_601010000031,paid
INV-2026-00017,2026-03-03,Sethi Agencies AND CO,407.99,order_601010000033,paid
INV-2026-00018,2026-03-03,Sethi Traders Private Limited,"1,858.17",order_601010000035,paid
INV-2026-00019,2026-03-03,Deshmukh Hardware Pvt. Ltd,"2,068.26",order_601010000037,paid
INV-2026-00020,2026-03-03,Trivedi Agencies Pvt. Ltd,"1,433.34",order_601010000039,paid
INV-2026-00021,2026-03-03,Raghavan Exports Pvt. Ltd,191.79,order_601010000041,paid
INV-2026-00022,2026-03-03,Malhotra Foods & Co,"2,672.73",order_601010000043,paid
INV-2026-00023,2026-03-03,Rao Exports Pvt Ltd,228.20,order_601010000045,paid
INV-2026-00024,2026-03-03,Khan Logistics AND SONS,"1,139.27",order_601010000047,paid
INV-2026-00025,2026-03-03,Verma Pharma AND CO,"1,283.94",order_601010000049,paid
INV-2026-00026,2026-03-03,Naidu Motors AND CO,"2,635.47",order_601010000051,paid
INV-2026-00027,2026-03-03,Patel Textiles Pvt Ltd,415.33,order_601010000053,paid
INV-2026-00028,2026-03-03,Sharma Foods AND SONS,"4,006.77",order_601010000055,paid
INV-2026-00029,2026-03-04,Shetty Textiles & Sons,"2,555.44",order_601010000057,paid
INV-2026-00030,2026-03-04,Chowdhury Steels Pvt Ltd,"1,045.56",order_601010000059,paid
INV-2026-00031,2026-03-04,Pillai Exports Pvt. Ltd,390.44,order_601010000061,paid
INV-2026-00032,2026-03-04,Gupta Electronics & Sons,939.79,order_601010000063,paid
INV-2026-00033,2026-03-04,Nair Motors,207.17,order_601010000065,paid
INV-2026-00034,2026-03-04,Naidu Traders & Sons,"1,838.38",order_601010000067,paid
INV-2026-00035,2026-03-04,Chowdhury Steels LLP,"9,639.55",order_601010000069,paid
INV-2026-00036,2026-03-04,Kulkarni Steels P Ltd,475.26,order_601010000071,paid
INV-2026-00037,2026-03-04,Reddy Distributors PVT. LTD.,312.70,order_601010000073,paid
INV-2026-00038,2026-03-04,Gupta Foods P Ltd,737.41,order_601010000075,paid
INV-2026-00039,2026-03-04,Bose Steels Pvt. Ltd,338.66,order_601010000077,paid
INV-2026-00040,2026-03-04,Raghavan Traders LLP,450.54,order_601010000079,paid
INV-2026-00041,2026-03-04,Iyer Foods Private Limited,"2,926.58",order_601010000081,paid
INV-2026-00042,2026-03-04,Joshi Electronics LLP,"1,078.71",order_601010000083,paid
INV-2026-00043,2026-03-05,Khan Textiles AND CO,"1,757.23",order_601010000085,paid
INV-2026-00044,2026-03-05,Gupta Hardware AND CO,"1,536.04",order_601010000087,paid
INV-2026-00045,2026-03-05,Ghosh Agencies AND CO,"1,115.50",order_601010000089,paid
INV-2026-00046,2026-03-05,Gupta Steels Pvt Ltd,"5,827.75",order_601010000091,paid
INV-2026-00047,2026-03-05,Sharma Foods AND CO,"7,871.97",order_601010000093,paid
INV-2026-00048,2026-03-05,Shetty Industries PVT. LTD.,906.85,order_601010000095,paid
INV-2026-00049,2026-03-05,Deshmukh Agencies,"1,697.66",order_601010000097,paid
INV-2026-00050,2026-03-05,Mehta Chemicals LLP,368.59,order_601010000099,paid
INV-2026-00051,2026-03-05,Krishnan Agencies P Ltd,"1,315.21",order_601010000101,paid
INV-2026-00052,2026-03-05,Chowdhury Motors P Ltd,657.91,order_601010000103,paid
INV-2026-00053,2026-03-05,Krishnan Motors,"2,626.11",order_601010000105,paid
INV-2026-00054,2026-03-05,Naidu Traders Private Limited,"1,103.30",order_601010000108,paid
INV-2026-00055,2026-03-05,Ghosh Packaging PVT. LTD.,"3,784.59",order_601010000110,paid
INV-2026-00056,2026-03-05,Krishnan Electronics PVT. LTD.,"2,344.22",order_601010000112,paid
INV-2026-00057,2026-03-06,Khan Motors Pvt. Ltd,"5,010.17",order_601010000114,paid
INV-2026-00058,2026-03-06,Trivedi Foods AND SONS,"3,586.24",order_601010000116,paid
INV-2026-00059,2026-03-06,Krishnan Pharma Private Limited,"1,186.09",order_601010000118,paid
INV-2026-00060,2026-03-06,Menon Packaging & Sons,"3,202.87",order_601010000121,paid
INV-2026-00061,2026-03-06,Trivedi Exports & Co,"2,276.20",order_601010000123,paid
INV-2026-00062,2026-03-06,Naidu Agencies PVT. LTD.,"9,034.70",order_601010000125,paid
INV-2026-00063,2026-03-06,Kulkarni Electronics AND CO,"2,286.60",order_601010000127,paid
